RPC,Address,EHO_Permit_Status,EHO_Permits,Multi_Unit_Permit,SFD_Permit,Demolition_Permit,Development_Project,Construction_Status
04024001,2400 N LINCOLN ST,Approved,"ZEHO23-00061 (Approved), ZEHO23-00061 (Approved)",CNEW24-01018: Revisions Required (Commercial New - Build 3 Townhomes...),RNEW24-06074: Finaled (Build SFD...); RNEW24-06074: Issued Awaiting Insp (Build SFD...),DEMO24-00073: Finaled; DEMO24-00073: Issued Awaiting Insp; DEMO24-00097: Expired,2400 N Lincoln St (EHO) (ID: 19860) - Status: Approved (Not Under Construction),Complete
01063028,2401 N POTOMAC ST,Approved,"ZEHO23-00066 (Approved), ZEHO23-00066 (Approved)",RNEW25-05427: Awaiting Plans and Documents (Residential New - Construction of (3) townhouses...); CNEW25-05544: Awaiting Plans and Documents (Commercial New - Construction of 3 townhouses...),RNEW25-02204: Awaiting Plans and Documents (New Single Family Structure...),DEMO24-00108: Expired; DEMO24-00108: Awaiting Plans and Documents; DEMO24-00107: Inspection Scheduled; DEMO24-00107: Finaled,2401 N Potomac St (EHO) (ID: 19863) - Status: Under Construction,Underway (via DevProject)
01063027,2405 N POTOMAC ST,Approved,"ZEHO24-00004 (Approved), ZEHO24-00004 (Approved)",CNEW25-05436: Awaiting Plans and Documents (Commercial New - Construction of 3 townhouses...),None,None,2405 N Potomac St (EHO) (ID: 19956) - Status: Under Construction,Underway (via DevProject)
36052025,2612 S FERN ST,Approved,"ZEHO23-00026 (Approved), ZEHO23-00026 (Approved)",CNEW23-04626: Awaiting Plans and Documents (Commercial New - New construction of multi-family residential. Six-dwelling u...); CNEW24-01206: Issued Awaiting Inspection (Commercial New - New 6-dwelling unit multifamily EHO development....); CNEW24-01206: Revision Pending (Commercial New - New 6-dwelling unit multifamily EHO development....),None,DEMO23-00093: Finaled; DEMO23-00093: Inspection Scheduled,2612 S Fern St (EHO) (ID: 19687) - Status: Under Construction,Underway
36052006,2721 S GRANT ST,Approved,"ZEHO26-00006 (Approved), ZEHO26-00006 (Approved), ZEHO26-00006 (Approved)",None,None,DEMO26-00095: Revision Received; DEMO26-00095: Awaiting LDA Approval-Fees Due,2721 S Grant St (EHO) (ID: 25938) - Status: Approved (Not Under Construction),Not Started
18068017,2909 2nd RD N,Approved,"ZEHO23-00013 (Approved), ZEHO23-00013 (Approved)","RNEW23-06415: Additional Info Required (Residential New - 3 New townhouses including: walls, floors, roofs, framing, s...); RNEW23-06415: Revisions Received (Residential New - 3 New townhouses including: walls, floors, roofs, framing, s...)","RNEW25-00204: Finaled (existing home to be torn down, new SFD to be built...); RNEW25-00204: Issued Awaiting Insp (existing home to be torn down, new SFD to be built...)",DEMO25-00029: Inspection Scheduled; DEMO25-00029: Finaled,2909 2Nd Rd N (EHO) (ID: 19764) - Status: Approved (Not Under Construction),Complete
18047008,3014 7th ST N,Approved,"ZEHO23-00058 (Approved), ZEHO23-00058 (Approved)",RNEW24-01210: Awaiting Plans and Documents (Residential New - New 3-townhouse EHO development and additional detached gara...),None,DEMO24-00062: Finaled; DEMO24-00062: Inspection Scheduled,3014 7Th St N (EHO) (ID: 19776) - Status: Under Construction,Underway (via DevProject)
04007015,3101 MILITARY RD,Approved,"ZEHO24-00005 (Awaiting Plans and Documents), ZEHO24-00006 (Approved), ZEHO24-00006 (Approved), ZEHO24-00005 (Void)",None,None,None,3101 Military Rd (EHO) (ID: 19951) - Status: Approved (Not Under Construction),Not Started
23016018,3411 7th ST S,Approved,"ZEHO23-00049 (Awaiting Plans and Documents), ZEHO23-00050 (Approved), ZEHO23-00049 (Void), ZEHO23-00050 (Approved)",None,None,None,3411 7th St S (EHO) (ID: 23789) - Status: Approved (Not Under Construction),Not Started
15082019,3802 14th ST N,Approved,"ZEHO23-00057 (Awaiting Plans and Documents), ZEHO23-00010 (Approved), ZEHO23-00057 (Void), ZEHO23-00010 (Approved)",CNEW24-01975: Revision Pending (Commercial New - Constructionof new EHO 6 unit multi-story apartment building...); CNEW24-01975: Issued Awaiting Inspection (Commercial New - Constructionof new EHO 6 unit multi-story apartment building...),None,DEMO24-00129: Finaled; DEMO24-00129: Inspection Scheduled,3802 14Th St N (EHO) (ID: 19766) - Status: Completed,Underway
26011017,3812 16th ST S,Approved,"ZEHO24-00033 (Revisions Received), ZEHO24-00033 (Approved)",None,None,None,3812 16th St S (EHO) (ID: 25559) - Status: Approved (Not Under Construction),Not Started
23019030,4015 7th ST S,Approved,"ZEHO23-00034 (Approved), ZEHO23-00034 (Approved)",None,None,DEMO23-00054: Finaled; DEMO23-00054: Application Complete; DEMO23-00054: Inspection Scheduled,4015 7th St S (EHO) (ID: 19690) - Status: Approved (Not Under Construction),Not Started
23019029,4019 7TH ST S,Approved,"ZEHO23-00035 (Approved), ZEHO23-00035 (Approved)",None,None,None,4019 7th St S (EHO) (ID: 19691) - Status: Approved (Not Under Construction),Not Started
